"Step","SAC-RoboPianist-repertoire-150-ClairDeLune-v0-42-1700057138.4773772--dipoDroQ-clipaction-ClairDeLune - train/return","SAC-RoboPianist-repertoire-150-ClairDeLune-v0-42-1700057138.4773772--dipoDroQ-clipaction-ClairDeLune - train/return__MIN","SAC-RoboPianist-repertoire-150-ClairDeLune-v0-42-1700057138.4773772--dipoDroQ-clipaction-ClairDeLune - train/return__MAX","SAC-RoboPianist-repertoire-150-ClairDeLune-v0-42-1699762274.2041667--dipo-clipaction-ClairDeLune - train/return","SAC-RoboPianist-repertoire-150-ClairDeLune-v0-42-1699762274.2041667--dipo-clipaction-ClairDeLune - train/return__MIN","SAC-RoboPianist-repertoire-150-ClairDeLune-v0-42-1699762274.2041667--dipo-clipaction-ClairDeLune - train/return__MAX"
"597","211.55706705352995","211.55706705352995","211.55706705352995","211.55706705352995","211.55706705352995","211.55706705352995"
"1194","208.82043488670521","208.82043488670521","208.82043488670521","208.82043488670521","208.82043488670521","208.82043488670521"
"1791","251.63267233467016","251.63267233467016","251.63267233467016","251.63267233467016","251.63267233467016","251.63267233467016"
"2388","205.89753713015378","205.89753713015378","205.89753713015378","205.89753713015384","205.89753713015384","205.89753713015384"
"2985","275.0642095284439","275.0642095284439","275.0642095284439","275.0642095284439","275.0642095284439","275.0642095284439"
"3582","232.31831150007417","232.31831150007417","232.31831150007417","232.31831150007417","232.31831150007417","232.31831150007417"
"4179","244.6459161177021","244.6459161177021","244.6459161177021","244.64591611770214","244.64591611770214","244.64591611770214"
"4776","187.05461828928483","187.05461828928483","187.05461828928483","187.05461828928483","187.05461828928483","187.05461828928483"
"5373","187.25451186088515","187.25451186088515","187.25451186088515","156.07921938030628","156.07921938030628","156.07921938030628"
"5970","803.493148193085","803.493148193085","803.493148193085","790.8355086830237","790.8355086830237","790.8355086830237"
"6567","935.1458700151419","935.1458700151419","935.1458700151419","911.240365881894","911.240365881894","911.240365881894"
"7164","930.9424739780901","930.9424739780901","930.9424739780901","954.1159706380164","954.1159706380164","954.1159706380164"
"7761","977.8994011898642","977.8994011898642","977.8994011898642","968.3811292636532","968.3811292636532","968.3811292636532"
"8358","994.4250863055804","994.4250863055804","994.4250863055804","979.1648048621098","979.1648048621098","979.1648048621098"
"8955","995.6969543806397","995.6969543806397","995.6969543806397","1016.4917742802639","1016.4917742802639","1016.4917742802639"
"9552","1069.7944911268085","1069.7944911268085","1069.7944911268085","1017.9895665109689","1017.9895665109689","1017.9895665109689"
"10149","1151.9334364990073","1151.9334364990073","1151.9334364990073","1062.928490232779","1062.928490232779","1062.928490232779"
"10746","1199.3861831844747","1199.3861831844747","1199.3861831844747","1116.6669916987614","1116.6669916987614","1116.6669916987614"
"11343","1246.11930221584","1246.11930221584","1246.11930221584","1160.5155549692286","1160.5155549692286","1160.5155549692286"
"11940","1254.7231483637495","1254.7231483637495","1254.7231483637495","1200.1537637214055","1200.1537637214055","1200.1537637214055"
"12537","1304.1284982129923","1304.1284982129923","1304.1284982129923","1214.2292072135876","1214.2292072135876","1214.2292072135876"
"13134","1319.0285695621767","1319.0285695621767","1319.0285695621767","1185.4322352413415","1185.4322352413415","1185.4322352413415"
