"Step","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-42-1700057249.2211816--dipoDroQ-clipaction-NocturneOp9No2 - train/return","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-42-1700057249.2211816--dipoDroQ-clipaction-NocturneOp9No2 - train/return__MIN","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-42-1700057249.2211816--dipoDroQ-clipaction-NocturneOp9No2 - train/return__MAX","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-42-1699883098.0656614--dipo-clipaction-NocturneOp9No2 - train/return","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-42-1699883098.0656614--dipo-clipaction-NocturneOp9No2 - train/return__MIN","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-42-1699883098.0656614--dipo-clipaction-NocturneOp9No2 - train/return__MAX"
"769","293.60377578779475","293.60377578779475","293.60377578779475","293.60377578779475","293.60377578779475","293.60377578779475"
"1538","323.1773140248086","323.1773140248086","323.1773140248086","323.1773140248086","323.1773140248086","323.1773140248086"
"2307","265.633790565637","265.633790565637","265.633790565637","265.633790565637","265.633790565637","265.633790565637"
"3076","347.30294904611327","347.30294904611327","347.30294904611327","347.30294904611327","347.30294904611327","347.30294904611327"
"3845","338.76544576722745","338.76544576722745","338.76544576722745","338.76544576722745","338.76544576722745","338.76544576722745"
"4614","238.18686121329952","238.18686121329952","238.18686121329952","238.18686121329952","238.18686121329952","238.18686121329952"
"5383","241.96560057133667","241.96560057133667","241.96560057133667","226.4319590940537","226.4319590940537","226.4319590940537"
"6152","1081.7773013147541","1081.7773013147541","1081.7773013147541","1060.2481109872056","1060.2481109872056","1060.2481109872056"
"6921","1221.571373653199","1221.571373653199","1221.571373653199","1240.084028156719","1240.084028156719","1240.084028156719"
"7690","1251.0851238421412","1251.0851238421412","1251.0851238421412","1309.8228028878061","1309.8228028878061","1309.8228028878061"
"8459","1245.1611762515963","1245.1611762515963","1245.1611762515963","1292.3209851056931","1292.3209851056931","1292.3209851056931"
"9228","1343.8307899618337","1343.8307899618337","1343.8307899618337","1329.7480979028653","1329.7480979028653","1329.7480979028653"
"9997","1455.970847524072","1455.970847524072","1455.970847524072","1339.3368596741145","1339.3368596741145","1339.3368596741145"
"10766","1529.8106096969987","1529.8106096969987","1529.8106096969987","1479.3575704010748","1479.3575704010748","1479.3575704010748"
"11535","1600.7891091372778","1600.7891091372778","1600.7891091372778","1507.987195340091","1507.987195340091","1507.987195340091"
"12304","1636.3855734100437","1636.3855734100437","1636.3855734100437","1536.6074408709792","1536.6074408709792","1536.6074408709792"
"13073","1637.1485321284213","1637.1485321284213","1637.1485321284213","1543.8547501602598","1543.8547501602598","1543.8547501602598"
"13842","1674.3481893648138","1674.3481893648138","1674.3481893648138","1577.5493846441025","1577.5493846441025","1577.5493846441025"
"14611","1692.3604831728517","1692.3604831728517","1692.3604831728517","1583.5792305083241","1583.5792305083241","1583.5792305083241"
"15380","1729.1232489216873","1729.1232489216873","1729.1232489216873","1642.112847460934","1642.112847460934","1642.112847460934"
"16149","1748.7041275198326","1748.7041275198326","1748.7041275198326","1649.5635772675628","1649.5635772675628","1649.5635772675628"
"16918","1751.9561539715119","1751.9561539715119","1751.9561539715119","1660.603824156287","1660.603824156287","1660.603824156287"
"17687","1788.6583427859816","1788.6583427859816","1788.6583427859816","1672.954812870868","1672.954812870868","1672.954812870868"
"18456","1788.8757086701642","1788.8757086701642","1788.8757086701642","1697.149041791007","1697.149041791007","1697.149041791007"
"19225","1792.375539998179","1792.375539998179","1792.375539998179","1710.331684872776","1710.331684872776","1710.331684872776"
"19994","1818.7062283702676","1818.7062283702676","1818.7062283702676","1723.945228383094","1723.945228383094","1723.945228383094"
"20763","1823.7815248653933","1823.7815248653933","1823.7815248653933","1740.938208853819","1740.938208853819","1740.938208853819"
"21532","1839.2761446671955","1839.2761446671955","1839.2761446671955","1750.9128291436164","1750.9128291436164","1750.9128291436164"
"22301","1855.581187220603","1855.581187220603","1855.581187220603","1758.9522425595237","1758.9522425595237","1758.9522425595237"
"23070","1869.289476554309","1869.289476554309","1869.289476554309","1764.8647495793064","1764.8647495793064","1764.8647495793064"
"23839","1851.1893093235049","1851.1893093235049","1851.1893093235049","1783.8860822441948","1783.8860822441948","1783.8860822441948"
"24608","1871.5595952294498","1871.5595952294498","1871.5595952294498","1773.1372086567258","1773.1372086567258","1773.1372086567258"
"25377","1879.6211906678427","1879.6211906678427","1879.6211906678427","1800.8168884281924","1800.8168884281924","1800.8168884281924"
"26146","1880.820798359968","1880.820798359968","1880.820798359968","1809.5680764274696","1809.5680764274696","1809.5680764274696"
"26915","1881.7865465084037","1881.7865465084037","1881.7865465084037","1831.7903449287282","1831.7903449287282","1831.7903449287282"
"27684","1893.7541413288723","1893.7541413288723","1893.7541413288723","1822.7442205851848","1822.7442205851848","1822.7442205851848"
"28453","1907.532807996771","1907.532807996771","1907.532807996771","1837.3127655489993","1837.3127655489993","1837.3127655489993"
"29222","1901.1189811018298","1901.1189811018298","1901.1189811018298","1847.6840127851528","1847.6840127851528","1847.6840127851528"
"29991","1909.393482935915","1909.393482935915","1909.393482935915","1853.2093767940933","1853.2093767940933","1853.2093767940933"
"30760","1904.4303650436023","1904.4303650436023","1904.4303650436023","1852.4359849628518","1852.4359849628518","1852.4359849628518"
"31529","1928.5588100371506","1928.5588100371506","1928.5588100371506","1864.7572733315928","1864.7572733315928","1864.7572733315928"
"32298","1921.2513991716446","1921.2513991716446","1921.2513991716446","1867.697286751233","1867.697286751233","1867.697286751233"
"33067","1926.9124756164429","1926.9124756164429","1926.9124756164429","1875.3889666294751","1875.3889666294751","1875.3889666294751"
"33836","1941.5035546749477","1941.5035546749477","1941.5035546749477","1886.5748209908666","1886.5748209908666","1886.5748209908666"
"34605","1934.851020360259","1934.851020360259","1934.851020360259","1891.1973913529298","1891.1973913529298","1891.1973913529298"
"35374","1945.2162788513872","1945.2162788513872","1945.2162788513872","1887.904388554056","1887.904388554056","1887.904388554056"
"36143","1950.3977523601327","1950.3977523601327","1950.3977523601327","1894.7552527144176","1894.7552527144176","1894.7552527144176"
"36912","1957.1468749084704","1957.1468749084704","1957.1468749084704","1898.059024092489","1898.059024092489","1898.059024092489"
"37681","1961.6076449013408","1961.6076449013408","1961.6076449013408","1901.4688992254144","1901.4688992254144","1901.4688992254144"
"38450","1946.9994996131393","1946.9994996131393","1946.9994996131393","1904.0564058533039","1904.0564058533039","1904.0564058533039"
"39219","1967.276005956074","1967.276005956074","1967.276005956074","1919.5650731248688","1919.5650731248688","1919.5650731248688"
"39988","1962.609491408953","1962.609491408953","1962.609491408953","1927.7184614282514","1927.7184614282514","1927.7184614282514"
"40757","1972.2899920481018","1972.2899920481018","1972.2899920481018","1921.594246179291","1921.594246179291","1921.594246179291"
"41526","1970.7297514665854","1970.7297514665854","1970.7297514665854","1941.172928426627","1941.172928426627","1941.172928426627"
"42295","1966.5243819811158","1966.5243819811158","1966.5243819811158","1937.7615621684809","1937.7615621684809","1937.7615621684809"
"43064","1979.9425452383675","1979.9425452383675","1979.9425452383675","1948.8180593198415","1948.8180593198415","1948.8180593198415"
"43833","1982.6209175545416","1982.6209175545416","1982.6209175545416","1952.4650152069046","1952.4650152069046","1952.4650152069046"
"44602","1978.3899231499433","1978.3899231499433","1978.3899231499433","1946.4582350881403","1946.4582350881403","1946.4582350881403"
"45371","1980.8551174627669","1980.8551174627669","1980.8551174627669","1952.661550817931","1952.661550817931","1952.661550817931"
"46140","1985.4349328660787","1985.4349328660787","1985.4349328660787","1957.318981347168","1957.318981347168","1957.318981347168"
"46909","1986.0979212850232","1986.0979212850232","1986.0979212850232","1973.1416882228368","1973.1416882228368","1973.1416882228368"
"47678","2004.215012454825","2004.215012454825","2004.215012454825","1969.9742590806623","1969.9742590806623","1969.9742590806623"
"48447","1998.2603773109995","1998.2603773109995","1998.2603773109995","1965.865078106473","1965.865078106473","1965.865078106473"
"49216","1996.7886707865455","1996.7886707865455","1996.7886707865455","1967.4359782970923","1967.4359782970923","1967.4359782970923"
"49985","1996.0319845362635","1996.0319845362635","1996.0319845362635","1976.3527262946563","1976.3527262946563","1976.3527262946563"
"50754","2016.0321643731775","2016.0321643731775","2016.0321643731775","1978.545115565314","1978.545115565314","1978.545115565314"
"51523","2012.1764954142795","2012.1764954142795","2012.1764954142795","1971.988004077523","1971.988004077523","1971.988004077523"
"52292","2010.650145033602","2010.650145033602","2010.650145033602","1970.8279956112408","1970.8279956112408","1970.8279956112408"
"53061","2017.976472802829","2017.976472802829","2017.976472802829","1983.8654380341945","1983.8654380341945","1983.8654380341945"
"53830","2008.9714340153541","2008.9714340153541","2008.9714340153541","1989.6816986727263","1989.6816986727263","1989.6816986727263"
"54599","2009.3898098975396","2009.3898098975396","2009.3898098975396","1981.8135844804551","1981.8135844804551","1981.8135844804551"
"55368","2004.727116180113","2004.727116180113","2004.727116180113","1987.9896134739329","1987.9896134739329","1987.9896134739329"
"56137","2020.5427197505692","2020.5427197505692","2020.5427197505692","1980.2466408065493","1980.2466408065493","1980.2466408065493"
"56906","2021.3665195198018","2021.3665195198018","2021.3665195198018","1988.206477228613","1988.206477228613","1988.206477228613"
"57675","2008.6281300734122","2008.6281300734122","2008.6281300734122","1993.2075804119795","1993.2075804119795","1993.2075804119795"
"58444","2016.9790708709822","2016.9790708709822","2016.9790708709822","1998.1666570674802","1998.1666570674802","1998.1666570674802"
"59213","2012.7540181788856","2012.7540181788856","2012.7540181788856","1996.0754196396913","1996.0754196396913","1996.0754196396913"
"59982","2028.1031996731494","2028.1031996731494","2028.1031996731494","2000.228700030889","2000.228700030889","2000.228700030889"
