"Step","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-42-1700226160.6368287--dipo-NocturneOp9No2 - train/return","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-42-1700226160.6368287--dipo-NocturneOp9No2 - train/return__MIN","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-42-1700226160.6368287--dipo-NocturneOp9No2 - train/return__MAX","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-43-1700226040.2150228--dipo-NocturneOp9No2 - train/return","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-43-1700226040.2150228--dipo-NocturneOp9No2 - train/return__MIN","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-43-1700226040.2150228--dipo-NocturneOp9No2 - train/return__MAX"
"769","224.14651416887457","224.14651416887457","224.14651416887457","237.93385128112135","237.93385128112135","237.93385128112135"
"1538","265.56415319788505","265.56415319788505","265.56415319788505","229.12880732658732","229.12880732658732","229.12880732658732"
"2307","194.93944451852747","194.93944451852747","194.93944451852747","262.6933227392119","262.6933227392119","262.6933227392119"
"3076","270.38036939420584","270.38036939420584","270.38036939420584","246.18353818444706","246.18353818444706","246.18353818444706"
"3845","266.1493492591439","266.1493492591439","266.1493492591439","257.1012317950489","257.1012317950489","257.1012317950489"
"4614","181.88955570562212","181.88955570562212","181.88955570562212","228.61439904168057","228.61439904168057","228.61439904168057"
"5383","134.10828722964897","134.10828722964897","134.10828722964897","105.6623323224443","105.6623323224443","105.6623323224443"
"6152","1029.3135540161086","1029.3135540161086","1029.3135540161086","1073.4480990405934","1073.4480990405934","1073.4480990405934"
"6921","1191.9339624722004","1191.9339624722004","1191.9339624722004","1178.1853360590662","1178.1853360590662","1178.1853360590662"
"7690","1262.9553012705464","1262.9553012705464","1262.9553012705464","1208.6253731619036","1208.6253731619036","1208.6253731619036"
"8459","1271.128263792503","1271.128263792503","1271.128263792503","1246.031414467261","1246.031414467261","1246.031414467261"
"9228","1283.68351609756","1283.68351609756","1283.68351609756","1278.593248588724","1278.593248588724","1278.593248588724"
"9997","1301.8087170424074","1301.8087170424074","1301.8087170424074","1310.6078997506283","1310.6078997506283","1310.6078997506283"
"10766","1425.823041370715","1425.823041370715","1425.823041370715","1375.6465906063095","1375.6465906063095","1375.6465906063095"
"11535","1458.747471298648","1458.747471298648","1458.747471298648","1403.9118638124319","1403.9118638124319","1403.9118638124319"
"12304","1478.1127922365704","1478.1127922365704","1478.1127922365704","1421.2960653982684","1421.2960653982684","1421.2960653982684"
"13073","1485.6741404579286","1485.6741404579286","1485.6741404579286","1424.5430330253798","1424.5430330253798","1424.5430330253798"
"13842","1522.5945115487407","1522.5945115487407","1522.5945115487407","1462.4989735221604","1462.4989735221604","1462.4989735221604"
"14611","1525.6924400086637","1525.6924400086637","1525.6924400086637","1526.0001940808916","1526.0001940808916","1526.0001940808916"
"15380","1555.7184078360556","1555.7184078360556","1555.7184078360556","1498.283174387312","1498.283174387312","1498.283174387312"
"16149","1584.055315102075","1584.055315102075","1584.055315102075","1538.4119937199969","1538.4119937199969","1538.4119937199969"
"16918","1587.3982417920047","1587.3982417920047","1587.3982417920047","1516.5889358631223","1516.5889358631223","1516.5889358631223"
