"Step","SAC-RoboPianist-debug-CMajorScaleTwoHands-v0-44-1699603969.8992152--dipo-clipaction-CMajorScaleTwoHands - train/return","SAC-RoboPianist-debug-CMajorScaleTwoHands-v0-44-1699603969.8992152--dipo-clipaction-CMajorScaleTwoHands - train/return__MIN","SAC-RoboPianist-debug-CMajorScaleTwoHands-v0-44-1699603969.8992152--dipo-clipaction-CMajorScaleTwoHands - train/return__MAX","SAC-RoboPianist-debug-CMajorScaleTwoHands-v0-43-1699603917.91163--dipo-clipaction-CMajorScaleTwoHands - train/return","SAC-RoboPianist-debug-CMajorScaleTwoHands-v0-43-1699603917.91163--dipo-clipaction-CMajorScaleTwoHands - train/return__MIN","SAC-RoboPianist-debug-CMajorScaleTwoHands-v0-43-1699603917.91163--dipo-clipaction-CMajorScaleTwoHands - train/return__MAX","SAC-RoboPianist-debug-CMajorScaleTwoHands-v0-42-1699603784.8798096--dipo-clipaction-CMajorScaleTwoHands - train/return","SAC-RoboPianist-debug-CMajorScaleTwoHands-v0-42-1699603784.8798096--dipo-clipaction-CMajorScaleTwoHands - train/return__MIN","SAC-RoboPianist-debug-CMajorScaleTwoHands-v0-42-1699603784.8798096--dipo-clipaction-CMajorScaleTwoHands - train/return__MAX"
"151","60.386830811623355","60.386830811623355","60.386830811623355","45.11868368268615","45.11868368268615","45.11868368268615","68.65688854986254","68.65688854986254","68.65688854986254"
"302","42.18447699022675","42.18447699022675","42.18447699022675","30.36476610020443","30.36476610020443","30.36476610020443","54.26910659221759","54.26910659221759","54.26910659221759"
"453","73.28134799306365","73.28134799306365","73.28134799306365","49.89515675415346","49.89515675415346","49.89515675415346","52.68729139731993","52.68729139731993","52.68729139731993"
"604","38.05371863394235","38.05371863394235","38.05371863394235","79.5813085755628","79.5813085755628","79.5813085755628","38.93316645232833","38.93316645232833","38.93316645232833"
"755","44.47963553629665","44.47963553629665","44.47963553629665","68.62968299743265","68.62968299743265","68.62968299743265","53.3490564377978","53.3490564377978","53.3490564377978"
"906","58.245280320635956","58.245280320635956","58.245280320635956","36.585016888992556","36.585016888992556","36.585016888992556","51.709648347558634","51.709648347558634","51.709648347558634"
"1057","69.14423440847973","69.14423440847973","69.14423440847973","58.564755138406994","58.564755138406994","58.564755138406994","60.913751781516446","60.913751781516446","60.913751781516446"
"1208","29.44515124499984","29.44515124499984","29.44515124499984","53.18536654382838","53.18536654382838","53.18536654382838","59.815177736285534","59.815177736285534","59.815177736285534"
"1359","55.38578746877576","55.38578746877576","55.38578746877576","58.943194976583044","58.943194976583044","58.943194976583044","67.68020204889133","67.68020204889133","67.68020204889133"
"1510","53.65083298406416","53.65083298406416","53.65083298406416","49.80048326997837","49.80048326997837","49.80048326997837","53.288182716680836","53.288182716680836","53.288182716680836"
"1661","39.17264763744521","39.17264763744521","39.17264763744521","52.33457681478582","52.33457681478582","52.33457681478582","45.1998871434719","45.1998871434719","45.1998871434719"
"1812","44.126843527931875","44.126843527931875","44.126843527931875","42.29001810971501","42.29001810971501","42.29001810971501","58.70772179974246","58.70772179974246","58.70772179974246"
"1963","63.350968913764255","63.350968913764255","63.350968913764255","63.49307719675398","63.49307719675398","63.49307719675398","49.91601388477648","49.91601388477648","49.91601388477648"
"2114","51.01678739026891","51.01678739026891","51.01678739026891","66.55068757253619","66.55068757253619","66.55068757253619","50.4656584150822","50.4656584150822","50.4656584150822"
"2265","65.77008191137713","65.77008191137713","65.77008191137713","55.23940908638829","55.23940908638829","55.23940908638829","51.18889603304326","51.18889603304326","51.18889603304326"
"2416","45.5730810466941","45.5730810466941","45.5730810466941","73.94979177517448","73.94979177517448","73.94979177517448","50.40018744716298","50.40018744716298","50.40018744716298"
"2567","34.34992402884573","34.34992402884573","34.34992402884573","56.16727114110033","56.16727114110033","56.16727114110033","64.1598253996627","64.1598253996627","64.1598253996627"
"2718","65.62830055725303","65.62830055725303","65.62830055725303","60.35675612666368","60.35675612666368","60.35675612666368","89.43437040575633","89.43437040575633","89.43437040575633"
"2869","63.564144361566335","63.564144361566335","63.564144361566335","49.45441248743639","49.45441248743639","49.45441248743639","53.55122088346643","53.55122088346643","53.55122088346643"
"3020","34.37621341630668","34.37621341630668","34.37621341630668","47.43676011528316","47.43676011528316","47.43676011528316","69.1524962494179","69.1524962494179","69.1524962494179"
"3171","40.25495747328633","40.25495747328633","40.25495747328633","63.86566721788043","63.86566721788043","63.86566721788043","51.524049065129766","51.524049065129766","51.524049065129766"
"3322","39.37767616143284","39.37767616143284","39.37767616143284","65.77702714883472","65.77702714883472","65.77702714883472","63.974255254341166","63.974255254341166","63.974255254341166"
"3473","55.699590544889006","55.699590544889006","55.699590544889006","51.78391433201379","51.78391433201379","51.78391433201379","39.02708094548406","39.02708094548406","39.02708094548406"
"3624","63.92548731876147","63.92548731876147","63.92548731876147","65.13371115640017","65.13371115640017","65.13371115640017","53.047968027082966","53.047968027082966","53.047968027082966"
"3775","51.57864553579647","51.57864553579647","51.57864553579647","59.09180218573025","59.09180218573025","59.09180218573025","58.40015205018866","58.40015205018866","58.40015205018866"
