"Step","RoboPianist-debug-CMajorScaleTwoHands-v0__88__1700377794__DiagGaussianDistribution-Tanh-num-steps-1024 - train/return","RoboPianist-debug-CMajorScaleTwoHands-v0__88__1700377794__DiagGaussianDistribution-Tanh-num-steps-1024 - train/return__MIN","RoboPianist-debug-CMajorScaleTwoHands-v0__88__1700377794__DiagGaussianDistribution-Tanh-num-steps-1024 - train/return__MAX","RoboPianist-debug-CMajorScaleTwoHands-v0__88__1700224042__DiagGaussianDistribution-Tanh - train/return","RoboPianist-debug-CMajorScaleTwoHands-v0__88__1700224042__DiagGaussianDistribution-Tanh - train/return__MIN","RoboPianist-debug-CMajorScaleTwoHands-v0__88__1700224042__DiagGaussianDistribution-Tanh - train/return__MAX","RoboPianist-debug-CMajorScaleTwoHands-v0__88__1700138663__fixed_lr - train/return","RoboPianist-debug-CMajorScaleTwoHands-v0__88__1700138663__fixed_lr - train/return__MIN","RoboPianist-debug-CMajorScaleTwoHands-v0__88__1700138663__fixed_lr - train/return__MAX"
"151","-40.52242165383788","-40.52242165383788","-40.52242165383788","-40.52242165383788","-40.52242165383788","-40.52242165383788","-58.10629478587754","-58.10629478587754","-58.10629478587754"
"302","-61.1669306695677","-61.1669306695677","-61.1669306695677","-58.69123843655132","-58.69123843655132","-58.69123843655132","-74.8949056298178","-74.8949056298178","-74.8949056298178"
"453","-51.51337624664406","-51.51337624664406","-51.51337624664406","-41.8077752333576","-41.8077752333576","-41.8077752333576","-62.95311391021429","-62.95311391021429","-62.95311391021429"
"604","-51.35362327725938","-51.35362327725938","-51.35362327725938","-60.401134471626406","-60.401134471626406","-60.401134471626406","-49.708371385922696","-49.708371385922696","-49.708371385922696"
"755","-20.008677772907333","-20.008677772907333","-20.008677772907333","-46.79811767586351","-46.79811767586351","-46.79811767586351","-25.904749012342364","-25.904749012342364","-25.904749012342364"
"906","-39.76780017050053","-39.76780017050053","-39.76780017050053","-61.97843314168659","-61.97843314168659","-61.97843314168659","-56.65736182177383","-56.65736182177383","-56.65736182177383"
"1057","-19.262402584022254","-19.262402584022254","-19.262402584022254","-54.64621552530787","-54.64621552530787","-54.64621552530787","-35.68070380309898","-35.68070380309898","-35.68070380309898"
"1208","-25.150742683188238","-25.150742683188238","-25.150742683188238","-76.79286820352347","-76.79286820352347","-76.79286820352347","-72.87478864733528","-72.87478864733528","-72.87478864733528"
"1359","29.058286539659335","29.058286539659335","29.058286539659335","-31.263722584765613","-31.263722584765613","-31.263722584765613","-20.879326060465203","-20.879326060465203","-20.879326060465203"
"1510","0.982717757289675","0.982717757289675","0.982717757289675","-35.09444997588832","-35.09444997588832","-35.09444997588832","-42.763429067676675","-42.763429067676675","-42.763429067676675"
"1661","-7.328123802900349","-7.328123802900349","-7.328123802900349","-70.64765310397156","-70.64765310397156","-70.64765310397156","-54.8890474669851","-54.8890474669851","-54.8890474669851"
"1812","-7.876226242347872","-7.876226242347872","-7.876226242347872","-75.38572422324627","-75.38572422324627","-75.38572422324627","-47.43253758199796","-47.43253758199796","-47.43253758199796"
"1963","-1.9340850957607443","-1.9340850957607443","-1.9340850957607443","-51.288465103836266","-51.288465103836266","-51.288465103836266","-35.82991541902594","-35.82991541902594","-35.82991541902594"
"2114","-21.117059899660855","-21.117059899660855","-21.117059899660855","-84.34420170815088","-84.34420170815088","-84.34420170815088","-48.97258520978067","-48.97258520978067","-48.97258520978067"
"2265","8.536300130404074","8.536300130404074","8.536300130404074","-44.93393845215596","-44.93393845215596","-44.93393845215596","-22.57974659962317","-22.57974659962317","-22.57974659962317"
"2416","3.8717498652396456","3.8717498652396456","3.8717498652396456","-57.36038977992951","-57.36038977992951","-57.36038977992951","-51.77323937478746","-51.77323937478746","-51.77323937478746"
"2567","7.906199086543068","7.906199086543068","7.906199086543068","-48.86099632609978","-48.86099632609978","-48.86099632609978","-25.642659619385988","-25.642659619385988","-25.642659619385988"
