"Step","RoboPianist-repertoire-150-ClairDeLune-v0__42__1700132086 - train/return","RoboPianist-repertoire-150-ClairDeLune-v0__42__1700132086 - train/return__MIN","RoboPianist-repertoire-150-ClairDeLune-v0__42__1700132086 - train/return__MAX","SAC-RoboPianist-repertoire-150-ClairDeLune-v0-42-1700110699.5470524--baseline-no-dropQ - train/return","SAC-RoboPianist-repertoire-150-ClairDeLune-v0-42-1700110699.5470524--baseline-no-dropQ - train/return__MIN","SAC-RoboPianist-repertoire-150-ClairDeLune-v0-42-1700110699.5470524--baseline-no-dropQ - train/return__MAX","RoboPianist-repertoire-150-ClairDeLune-v0__200__1700083683 - train/return","RoboPianist-repertoire-150-ClairDeLune-v0__200__1700083683 - train/return__MIN","RoboPianist-repertoire-150-ClairDeLune-v0__200__1700083683 - train/return__MAX","SAC-RoboPianist-repertoire-150-ClairDeLune-v0-200-1700078080.3285866--baseline-no-dropQ - train/return","SAC-RoboPianist-repertoire-150-ClairDeLune-v0-200-1700078080.3285866--baseline-no-dropQ - train/return__MIN","SAC-RoboPianist-repertoire-150-ClairDeLune-v0-200-1700078080.3285866--baseline-no-dropQ - train/return__MAX","SAC-RoboPianist-repertoire-150-ClairDeLune-v0-88-1700044940.2427297--baseline-no-dropQ - train/return","SAC-RoboPianist-repertoire-150-ClairDeLune-v0-88-1700044940.2427297--baseline-no-dropQ - train/return__MIN","SAC-RoboPianist-repertoire-150-ClairDeLune-v0-88-1700044940.2427297--baseline-no-dropQ - train/return__MAX","RoboPianist-repertoire-150-ClairDeLune-v0__88__1700035725 - train/return","RoboPianist-repertoire-150-ClairDeLune-v0__88__1700035725 - train/return__MIN","RoboPianist-repertoire-150-ClairDeLune-v0__88__1700035725 - train/return__MAX","sacsag-ClairDeLune-seed-42-1699797185.745583--relu-lr5e-4-three-head-clip - train/return","sacsag-ClairDeLune-seed-42-1699797185.745583--relu-lr5e-4-three-head-clip - train/return__MIN","sacsag-ClairDeLune-seed-42-1699797185.745583--relu-lr5e-4-three-head-clip - train/return__MAX","SAC-RoboPianist-repertoire-150-ClairDeLune-v0-42-1699795662.5193653--relu-lr5e-4-one-head-no-clip - train/return","SAC-RoboPianist-repertoire-150-ClairDeLune-v0-42-1699795662.5193653--relu-lr5e-4-one-head-no-clip - train/return__MIN","SAC-RoboPianist-repertoire-150-ClairDeLune-v0-42-1699795662.5193653--relu-lr5e-4-one-head-no-clip - train/return__MAX","sacsag-ClairDeLune-seed-200-1699760180.3936944--relu-lr5e-4-three-head-clip - train/return","sacsag-ClairDeLune-seed-200-1699760180.3936944--relu-lr5e-4-three-head-clip - train/return__MIN","sacsag-ClairDeLune-seed-200-1699760180.3936944--relu-lr5e-4-three-head-clip - train/return__MAX","SAC-RoboPianist-repertoire-150-ClairDeLune-v0-200-1699759930.4567697--relu-lr5e-4-one-head-no-clip - train/return","SAC-RoboPianist-repertoire-150-ClairDeLune-v0-200-1699759930.4567697--relu-lr5e-4-one-head-no-clip - train/return__MIN","SAC-RoboPianist-repertoire-150-ClairDeLune-v0-200-1699759930.4567697--relu-lr5e-4-one-head-no-clip - train/return__MAX"
"589","-178.30633584329956","-178.30633584329956","-178.30633584329956","156.7143826022848","156.7143826022848","156.7143826022848","-195.3928908848076","-195.3928908848076","-195.3928908848076","141.55244408942914","141.55244408942914","141.55244408942914","175.70714091630978","175.70714091630978","175.70714091630978","-243.87363725915367","-243.87363725915367","-243.87363725915367","270.34144383915327","270.34144383915327","270.34144383915327","156.7143826022848","156.7143826022848","156.7143826022848","225.26533249789358","225.26533249789358","225.26533249789358","141.55244408942914","141.55244408942914","141.55244408942914"
"1178","-135.28712522147993","-135.28712522147993","-135.28712522147993","150.1248787352509","150.1248787352509","150.1248787352509","-168.10088241530806","-168.10088241530806","-168.10088241530806","207.23756052860307","207.23756052860307","207.23756052860307","184.56035923214935","184.56035923214935","184.56035923214935","-180.95188741076302","-180.95188741076302","-180.95188741076302","312.28371832258216","312.28371832258216","312.28371832258216","150.1248787352509","150.1248787352509","150.1248787352509","275.16740121983725","275.16740121983725","275.16740121983725","207.23756052860307","207.23756052860307","207.23756052860307"
"1767","-180.80478085235848","-180.80478085235848","-180.80478085235848","208.6019907249378","208.6019907249378","208.6019907249378","-195.09938616907098","-195.09938616907098","-195.09938616907098","182.94749248983382","182.94749248983382","182.94749248983382","160.509148507381","160.509148507381","160.509148507381","-148.84714497074734","-148.84714497074734","-148.84714497074734","220.31922106546753","220.31922106546753","220.31922106546753","208.6019907249378","208.6019907249378","208.6019907249378","230.1317521171264","230.1317521171264","230.1317521171264","182.94749248983382","182.94749248983382","182.94749248983382"
"2356","-102.675546891819","-102.675546891819","-102.675546891819","159.13672245260042","159.13672245260042","159.13672245260042","-148.10622968277383","-148.10622968277383","-148.10622968277383","117.9645950336506","117.9645950336506","117.9645950336506","191.9595990894609","191.9595990894609","191.9595990894609","-92.70482605454325","-92.70482605454325","-92.70482605454325","238.68375978840874","238.68375978840874","238.68375978840874","159.13672245260042","159.13672245260042","159.13672245260042","237.10403673140698","237.10403673140698","237.10403673140698","117.9645950336506","117.9645950336506","117.9645950336506"
"2945","-63.290729984244166","-63.290729984244166","-63.290729984244166","221.5455468716528","221.5455468716528","221.5455468716528","-127.75427826812788","-127.75427826812788","-127.75427826812788","182.03295778030707","182.03295778030707","182.03295778030707","185.70370872648795","185.70370872648795","185.70370872648795","-95.5913651415406","-95.5913651415406","-95.5913651415406","298.22414743186704","298.22414743186704","298.22414743186704","221.5455468716528","221.5455468716528","221.5455468716528","265.161467481685","265.161467481685","265.161467481685","182.03295778030707","182.03295778030707","182.03295778030707"
"3534","-145.4361447155472","-145.4361447155472","-145.4361447155472","195.40229432962943","195.40229432962943","195.40229432962943","-54.906202701402755","-54.906202701402755","-54.906202701402755","174.93166446947885","174.93166446947885","174.93166446947885","219.39255509148188","219.39255509148188","219.39255509148188","-62.79854568853162","-62.79854568853162","-62.79854568853162","285.2988801193668","285.2988801193668","285.2988801193668","195.40229432962943","195.40229432962943","195.40229432962943","289.83566222830075","289.83566222830075","289.83566222830075","174.93166446947885","174.93166446947885","174.93166446947885"
"4123","-1.3373452722352699","-1.3373452722352699","-1.3373452722352699","186.59684094557082","186.59684094557082","186.59684094557082","-63.98483778965802","-63.98483778965802","-63.98483778965802","130.01727665944944","130.01727665944944","130.01727665944944","208.36600448657134","208.36600448657134","208.36600448657134","-93.09852218487615","-93.09852218487615","-93.09852218487615","274.6127760068768","274.6127760068768","274.6127760068768","186.59684094557082","186.59684094557082","186.59684094557082","266.3331868866757","266.3331868866757","266.3331868866757","130.01727665944944","130.01727665944944","130.01727665944944"
"4712","31.47014540565851","31.47014540565851","31.47014540565851","174.51328835273821","174.51328835273821","174.51328835273821","-36.71449552465785","-36.71449552465785","-36.71449552465785","170.30499550963864","170.30499550963864","170.30499550963864","199.90802717008543","199.90802717008543","199.90802717008543","-28.21236512119582","-28.21236512119582","-28.21236512119582","230.16734442834576","230.16734442834576","230.16734442834576","174.51328835273821","174.51328835273821","174.51328835273821","211.90442067184787","211.90442067184787","211.90442067184787","170.30499550963864","170.30499550963864","170.30499550963864"
"5301","39.30922372149748","39.30922372149748","39.30922372149748","180.37454553801263","180.37454553801263","180.37454553801263","15.79558094726397","15.79558094726397","15.79558094726397","217.07375743221633","217.07375743221633","217.07375743221633","241.828610481807","241.828610481807","241.828610481807","-28.8458488041185","-28.8458488041185","-28.8458488041185","229.79602257142346","229.79602257142346","229.79602257142346","139.55973487427107","139.55973487427107","139.55973487427107","268.48498307404856","268.48498307404856","268.48498307404856","157.77600756289303","157.77600756289303","157.77600756289303"
"5890","50.00888360396689","50.00888360396689","50.00888360396689","313.37923116742564","313.37923116742564","313.37923116742564","22.988406596021335","22.988406596021335","22.988406596021335","292.23001604560415","292.23001604560415","292.23001604560415","289.43398136543175","289.43398136543175","289.43398136543175","-1.292204566730672","-1.292204566730672","-1.292204566730672","245.8297347969771","245.8297347969771","245.8297347969771","218.23654408475835","218.23654408475835","218.23654408475835","216.82479362298997","216.82479362298997","216.82479362298997","120.82644620298267","120.82644620298267","120.82644620298267"
