"Step","SAC-RoboPianist-repertoire-150-ClairDeLune-v0-88-1699608306.1197076--relu-lr5e-4-one-head-no-clip - train/return","SAC-RoboPianist-repertoire-150-ClairDeLune-v0-88-1699608306.1197076--relu-lr5e-4-one-head-no-clip - train/return__MIN","SAC-RoboPianist-repertoire-150-ClairDeLune-v0-88-1699608306.1197076--relu-lr5e-4-one-head-no-clip - train/return__MAX"
"588","169.13413977558957","169.13413977558957","169.13413977558957"
"1176","183.5316556500338","183.5316556500338","183.5316556500338"
"1764","161.02900683423513","161.02900683423513","161.02900683423513"
"2352","196.9730586821923","196.9730586821923","196.9730586821923"
"2940","192.43397469099105","192.43397469099105","192.43397469099105"
"3528","200.14426525057974","200.14426525057974","200.14426525057974"
"4116","202.83436577700036","202.83436577700036","202.83436577700036"
"4704","200.70653220289682","200.70653220289682","200.70653220289682"
"5292","198.98935071499773","198.98935071499773","198.98935071499773"
"5880","148.33555484609553","148.33555484609553","148.33555484609553"
"6468","160.4672422622171","160.4672422622171","160.4672422622171"
"7056","215.74060739372626","215.74060739372626","215.74060739372626"
"7644","379.8597775983413","379.8597775983413","379.8597775983413"
"8232","558.7608996229974","558.7608996229974","558.7608996229974"
"8820","754.2328698259271","754.2328698259271","754.2328698259271"
"9408","835.6879505492394","835.6879505492394","835.6879505492394"
"9996","879.5304415735867","879.5304415735867","879.5304415735867"
"10584","926.429032509022","926.429032509022","926.429032509022"
"11172","940.7922870004611","940.7922870004611","940.7922870004611"
"11760","975.0771584747656","975.0771584747656","975.0771584747656"
"12348","1027.8830416441324","1027.8830416441324","1027.8830416441324"
"12936","1030.7736953176163","1030.7736953176163","1030.7736953176163"
"13524","1068.242102292776","1068.242102292776","1068.242102292776"
"14112","1062.2782927972944","1062.2782927972944","1062.2782927972944"
"14700","1080.473280481521","1080.473280481521","1080.473280481521"
"15288","1094.3849695256936","1094.3849695256936","1094.3849695256936"
"15876","1124.7063626869033","1124.7063626869033","1124.7063626869033"
"16464","1119.955153594798","1119.955153594798","1119.955153594798"
"17052","1153.3383204608137","1153.3383204608137","1153.3383204608137"
"17640","1165.9261464461804","1165.9261464461804","1165.9261464461804"
"18228","1177.12440000392","1177.12440000392","1177.12440000392"
"18816","1190.8539681436941","1190.8539681436941","1190.8539681436941"
"19404","1232.685302828209","1232.685302828209","1232.685302828209"
"19992","1236.391238007664","1236.391238007664","1236.391238007664"
"20580","1247.6557113147871","1247.6557113147871","1247.6557113147871"
"21168","1280.8392927367497","1280.8392927367497","1280.8392927367497"
"21756","1272.9474432088678","1272.9474432088678","1272.9474432088678"
"22344","1269.994805977538","1269.994805977538","1269.994805977538"
"22932","1314.4284700037458","1314.4284700037458","1314.4284700037458"
"23520","1317.1573447409141","1317.1573447409141","1317.1573447409141"
"24108","1339.8904685292023","1339.8904685292023","1339.8904685292023"
"24696","1360.8943715080145","1360.8943715080145","1360.8943715080145"
"25284","1350.7931766114773","1350.7931766114773","1350.7931766114773"
"25872","1339.3086365070176","1339.3086365070176","1339.3086365070176"
"26460","1392.1908718328682","1392.1908718328682","1392.1908718328682"
"27048","1404.5723175677003","1404.5723175677003","1404.5723175677003"
"27636","1425.776278553873","1425.776278553873","1425.776278553873"
"28224","1397.0898432993738","1397.0898432993738","1397.0898432993738"
"28812","1421.567993927169","1421.567993927169","1421.567993927169"
"29400","1420.125387428976","1420.125387428976","1420.125387428976"
"29988","1373.8669696624765","1373.8669696624765","1373.8669696624765"
"30576","1426.5523360253624","1426.5523360253624","1426.5523360253624"
"31164","1439.1001883905199","1439.1001883905199","1439.1001883905199"
