"Step","RoboPianist-repertoire-150-NocturneOp9No2-v0__42__1700128439 - train/return","RoboPianist-repertoire-150-NocturneOp9No2-v0__42__1700128439 - train/return__MIN","RoboPianist-repertoire-150-NocturneOp9No2-v0__42__1700128439 - train/return__MAX","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-42-1700109973.655212--baseline-no-dropQ - train/return","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-42-1700109973.655212--baseline-no-dropQ - train/return__MIN","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-42-1700109973.655212--baseline-no-dropQ - train/return__MAX","RoboPianist-repertoire-150-NocturneOp9No2-v0__200__1700082506 - train/return","RoboPianist-repertoire-150-NocturneOp9No2-v0__200__1700082506 - train/return__MIN","RoboPianist-repertoire-150-NocturneOp9No2-v0__200__1700082506 - train/return__MAX","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-200-1700077505.1347733--baseline-no-dropQ - train/return","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-200-1700077505.1347733--baseline-no-dropQ - train/return__MIN","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-200-1700077505.1347733--baseline-no-dropQ - train/return__MAX","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-88-1700045000.0311573--baseline-no-dropQ - train/return","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-88-1700045000.0311573--baseline-no-dropQ - train/return__MIN","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-88-1700045000.0311573--baseline-no-dropQ - train/return__MAX","RoboPianist-repertoire-150-NocturneOp9No2-v0__88__1700035476 - train/return","RoboPianist-repertoire-150-NocturneOp9No2-v0__88__1700035476 - train/return__MIN","RoboPianist-repertoire-150-NocturneOp9No2-v0__88__1700035476 - train/return__MAX","sacsag-NocturneOp9No2-seed-42-1699797665.8685763--relu-lr5e-4-three-head-clip - train/return","sacsag-NocturneOp9No2-seed-42-1699797665.8685763--relu-lr5e-4-three-head-clip - train/return__MIN","sacsag-NocturneOp9No2-seed-42-1699797665.8685763--relu-lr5e-4-three-head-clip - train/return__MAX","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-42-1699792010.5146313--relu-lr5e-4-one-head-no-clip - train/return","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-42-1699792010.5146313--relu-lr5e-4-one-head-no-clip - train/return__MIN","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-42-1699792010.5146313--relu-lr5e-4-one-head-no-clip - train/return__MAX","sacsag-NocturneOp9No2-seed-200-1699760587.9709177--relu-lr5e-4-three-head-clip - train/return","sacsag-NocturneOp9No2-seed-200-1699760587.9709177--relu-lr5e-4-three-head-clip - train/return__MIN","sacsag-NocturneOp9No2-seed-200-1699760587.9709177--relu-lr5e-4-three-head-clip - train/return__MAX","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-200-1699757746.6513517--relu-lr5e-4-one-head-no-clip - train/return","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-200-1699757746.6513517--relu-lr5e-4-one-head-no-clip - train/return__MIN","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-200-1699757746.6513517--relu-lr5e-4-one-head-no-clip - train/return__MAX"
"769","-193.8308711211869","-193.8308711211869","-193.8308711211869","230.9433255002944","230.9433255002944","230.9433255002944","-222.20323381488416","-222.20323381488416","-222.20323381488416","209.21482015648166","209.21482015648166","209.21482015648166","262.8167036839326","262.8167036839326","262.8167036839326","-240.5146495501883","-240.5146495501883","-240.5146495501883","355.82575620536875","355.82575620536875","355.82575620536875","230.9433255002944","230.9433255002944","230.9433255002944","340.6788656171573","340.6788656171573","340.6788656171573","209.21482015648166","209.21482015648166","209.21482015648166"
"1538","-236.43069118665673","-236.43069118665673","-236.43069118665673","271.77389426526304","271.77389426526304","271.77389426526304","-209.9845034777859","-209.9845034777859","-209.9845034777859","258.4322793730409","258.4322793730409","258.4322793730409","257.3772527659815","257.3772527659815","257.3772527659815","-247.52790329970597","-247.52790329970597","-247.52790329970597","340.85544728711835","340.85544728711835","340.85544728711835","271.77389426526304","271.77389426526304","271.77389426526304","328.55310314877266","328.55310314877266","328.55310314877266","258.4322793730409","258.4322793730409","258.4322793730409"
"2307","-195.98678719835442","-195.98678719835442","-195.98678719835442","204.12970828951825","204.12970828951825","204.12970828951825","-229.37929904333996","-229.37929904333996","-229.37929904333996","228.39323763630952","228.39323763630952","228.39323763630952","244.2807433688942","244.2807433688942","244.2807433688942","-213.96056870781055","-213.96056870781055","-213.96056870781055","316.94647808805496","316.94647808805496","316.94647808805496","204.12970828951825","204.12970828951825","204.12970828951825","289.84957333956714","289.84957333956714","289.84957333956714","228.39323763630952","228.39323763630952","228.39323763630952"
"3076","-60.67428060072566","-60.67428060072566","-60.67428060072566","283.77038813144134","283.77038813144134","283.77038813144134","-130.56925411261986","-130.56925411261986","-130.56925411261986","249.32164712377642","249.32164712377642","249.32164712377642","249.76698584390235","249.76698584390235","249.76698584390235","-174.00200847236155","-174.00200847236155","-174.00200847236155","383.1493807500772","383.1493807500772","383.1493807500772","283.77038813144134","283.77038813144134","283.77038813144134","351.40837123988194","351.40837123988194","351.40837123988194","249.32164712377642","249.32164712377642","249.32164712377642"
"3845","-117.69201137712277","-117.69201137712277","-117.69201137712277","261.3747490495319","261.3747490495319","261.3747490495319","-95.0320984293471","-95.0320984293471","-95.0320984293471","221.80784331441268","221.80784331441268","221.80784331441268","282.11676173647066","282.11676173647066","282.11676173647066","-191.07641083132367","-191.07641083132367","-191.07641083132367","333.96407065494407","333.96407065494407","333.96407065494407","261.3747490495319","261.3747490495319","261.3747490495319","354.6707298518977","354.6707298518977","354.6707298518977","221.80784331441268","221.80784331441268","221.80784331441268"
"4614","60.82279244043987","60.82279244043987","60.82279244043987","196.27357020214987","196.27357020214987","196.27357020214987","-87.11361418379857","-87.11361418379857","-87.11361418379857","240.16566814513536","240.16566814513536","240.16566814513536","275.7940421475747","275.7940421475747","275.7940421475747","-67.98950410614583","-67.98950410614583","-67.98950410614583","311.8051489403839","311.8051489403839","311.8051489403839","196.27357020214987","196.27357020214987","196.27357020214987","344.15462033299457","344.15462033299457","344.15462033299457","240.16566814513536","240.16566814513536","240.16566814513536"
"5383","-34.77768857594209","-34.77768857594209","-34.77768857594209","268.14059926777895","268.14059926777895","268.14059926777895","14.3108590110625","14.3108590110625","14.3108590110625","308.0022969311921","308.0022969311921","308.0022969311921","309.2309732684014","309.2309732684014","309.2309732684014","-119.34549372970235","-119.34549372970235","-119.34549372970235","279.4260327434385","279.4260327434385","279.4260327434385","209.37424515469172","209.37424515469172","209.37424515469172","347.7622814973821","347.7622814973821","347.7622814973821","224.14339224678307","224.14339224678307","224.14339224678307"
"6152","89.91738604989571","89.91738604989571","89.91738604989571","408.3083914408724","408.3083914408724","408.3083914408724","-18.570242482171896","-18.570242482171896","-18.570242482171896","366.9773513259238","366.9773513259238","366.9773513259238","351.62303786800703","351.62303786800703","351.62303786800703","-9.228097348745635","-9.228097348745635","-9.228097348745635","295.8584644566163","295.8584644566163","295.8584644566163","230.311375700129","230.311375700129","230.311375700129","307.94857384628006","307.94857384628006","307.94857384628006","196.55889129491578","196.55889129491578","196.55889129491578"
"6921","160.32958281702972","160.32958281702972","160.32958281702972","424.9316914237716","424.9316914237716","424.9316914237716","98.9823643059034","98.9823643059034","98.9823643059034","367.86996446081474","367.86996446081474","367.86996446081474","386.0565180139295","386.0565180139295","386.0565180139295","42.973100041351934","42.973100041351934","42.973100041351934","353.6452006082388","353.6452006082388","353.6452006082388","235.53634096278398","235.53634096278398","235.53634096278398","277.39833680430655","277.39833680430655","277.39833680430655","191.04666068732845","191.04666068732845","191.04666068732845"
"7690","224.93521473075","224.93521473075","224.93521473075","387.28181026263525","387.28181026263525","387.28181026263525","61.65590900777265","61.65590900777265","61.65590900777265","373.62225969848527","373.62225969848527","373.62225969848527","414.5085268091679","414.5085268091679","414.5085268091679","42.25028968653878","42.25028968653878","42.25028968653878","632.4670602428209","632.4670602428209","632.4670602428209","522.2615826584386","522.2615826584386","522.2615826584386","661.0805762864228","661.0805762864228","661.0805762864228","548.7197407944567","548.7197407944567","548.7197407944567"
"8459","246.9181670897518","246.9181670897518","246.9181670897518","445.85900028418763","445.85900028418763","445.85900028418763","125.77205615964569","125.77205615964569","125.77205615964569","416.1924191148506","416.1924191148506","416.1924191148506","420.69525000623383","420.69525000623383","420.69525000623383","167.70197062595642","167.70197062595642","167.70197062595642","929.9620440256701","929.9620440256701","929.9620440256701","848.6971454126063","848.6971454126063","848.6971454126063","967.6613414321411","967.6613414321411","967.6613414321411","814.9198405721594","814.9198405721594","814.9198405721594"
"9228","315.40392303580757","315.40392303580757","315.40392303580757","505.2991082848402","505.2991082848402","505.2991082848402","104.64952235523761","104.64952235523761","104.64952235523761","460.7541580574874","460.7541580574874","460.7541580574874","490.022576514381","490.022576514381","490.022576514381","219.1830206401344","219.1830206401344","219.1830206401344","1108.5307817844496","1108.5307817844496","1108.5307817844496","1013.5405695669651","1013.5405695669651","1013.5405695669651","1107.8944888874405","1107.8944888874405","1107.8944888874405","968.7308107106824","968.7308107106824","968.7308107106824"
"9997","334.05586803417856","334.05586803417856","334.05586803417856","520.6589168342018","520.6589168342018","520.6589168342018","150.79524813583458","150.79524813583458","150.79524813583458","526.4265449528534","526.4265449528534","526.4265449528534","506.5947033236046","506.5947033236046","506.5947033236046","216.55968305979087","216.55968305979087","216.55968305979087","1201.8731356726398","1201.8731356726398","1201.8731356726398","1063.0218660417086","1063.0218660417086","1063.0218660417086","1124.0737728661934","1124.0737728661934","1124.0737728661934","1059.1062859564984","1059.1062859564984","1059.1062859564984"
"10766","400.2063419093309","400.2063419093309","400.2063419093309","577.1708442231037","577.1708442231037","577.1708442231037","178.20501981959245","178.20501981959245","178.20501981959245","606.599042794826","606.599042794826","606.599042794826","587.0221737141837","587.0221737141837","587.0221737141837","199.99103531136757","199.99103531136757","199.99103531136757","1252.5237509750066","1252.5237509750066","1252.5237509750066","1156.376117389951","1156.376117389951","1156.376117389951","1180.453032192687","1180.453032192687","1180.453032192687","1125.9053623833463","1125.9053623833463","1125.9053623833463"
"11535","412.3168260169115","412.3168260169115","412.3168260169115","622.519147005254","622.519147005254","622.519147005254","289.79292116830584","289.79292116830584","289.79292116830584","629.6272534012658","629.6272534012658","629.6272534012658","577.5407228892415","577.5407228892415","577.5407228892415","202.94168696985085","202.94168696985085","202.94168696985085","1309.4592552846527","1309.4592552846527","1309.4592552846527","1203.2814868732955","1203.2814868732955","1203.2814868732955","1285.6957139143085","1285.6957139143085","1285.6957139143085","1169.082305564074","1169.082305564074","1169.082305564074"
"12304","444.8509542294444","444.8509542294444","444.8509542294444","767.6223641418104","767.6223641418104","767.6223641418104","243.41473617872424","243.41473617872424","243.41473617872424","730.6196967826609","730.6196967826609","730.6196967826609","623.6572490139861","623.6572490139861","623.6572490139861","185.66761097495672","185.66761097495672","185.66761097495672","1347.6943002505323","1347.6943002505323","1347.6943002505323","1228.8304769509512","1228.8304769509512","1228.8304769509512","1328.2586652105572","1328.2586652105572","1328.2586652105572","1199.6504562607763","1199.6504562607763","1199.6504562607763"
"13073","485.09318328244035","485.09318328244035","485.09318328244035","821.5602095434888","821.5602095434888","821.5602095434888","339.5754623318215","339.5754623318215","339.5754623318215","812.1474629733552","812.1474629733552","812.1474629733552","641.5403501803304","641.5403501803304","641.5403501803304","136.16609931673645","136.16609931673645","136.16609931673645","1359.675353956715","1359.675353956715","1359.675353956715","1250.9471746295478","1250.9471746295478","1250.9471746295478","1360.8038760696897","1360.8038760696897","1360.8038760696897","1252.7952591836145","1252.7952591836145","1252.7952591836145"
