"Step","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-88-1699608275.974176--relu-lr5e-4-one-head-no-clip - train/return","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-88-1699608275.974176--relu-lr5e-4-one-head-no-clip - train/return__MIN","SAC-RoboPianist-repertoire-150-NocturneOp9No2-v0-88-1699608275.974176--relu-lr5e-4-one-head-no-clip - train/return__MAX"
"769","255.29197721091853","255.29197721091853","255.29197721091853"
"1538","242.60021620216025","242.60021620216025","242.60021620216025"
"2307","240.09460615101435","240.09460615101435","240.09460615101435"
"3076","245.29212064666356","245.29212064666356","245.29212064666356"
"3845","286.25581926863543","286.25581926863543","286.25581926863543"
"4614","271.00337976138803","271.00337976138803","271.00337976138803"
"5383","246.823303721582","246.823303721582","246.823303721582"
"6152","205.21942670943835","205.21942670943835","205.21942670943835"
"6921","224.48881341814888","224.48881341814888","224.48881341814888"
"7690","563.2032517748069","563.2032517748069","563.2032517748069"
"8459","795.5127889368614","795.5127889368614","795.5127889368614"
"9228","980.9712027236762","980.9712027236762","980.9712027236762"
"9997","1062.3763541809103","1062.3763541809103","1062.3763541809103"
"10766","1114.0113732132393","1114.0113732132393","1114.0113732132393"
"11535","1192.8688281712045","1192.8688281712045","1192.8688281712045"
"12304","1252.8240759748692","1252.8240759748692","1252.8240759748692"
"13073","1283.8583886732752","1283.8583886732752","1283.8583886732752"
"13842","1315.984850000757","1315.984850000757","1315.984850000757"
"14611","1326.4235714296312","1326.4235714296312","1326.4235714296312"
"15380","1336.9342996708288","1336.9342996708288","1336.9342996708288"
"16149","1387.6910830643606","1387.6910830643606","1387.6910830643606"
"16918","1407.0597708983778","1407.0597708983778","1407.0597708983778"
"17687","1446.0103552920543","1446.0103552920543","1446.0103552920543"
"18456","1467.0521235878691","1467.0521235878691","1467.0521235878691"
"19225","1472.4242358219283","1472.4242358219283","1472.4242358219283"
"19994","1507.285577880171","1507.285577880171","1507.285577880171"
"20763","1525.469410219861","1525.469410219861","1525.469410219861"
"21532","1530.1479713660663","1530.1479713660663","1530.1479713660663"
"22301","1561.2847138214267","1561.2847138214267","1561.2847138214267"
"23070","1552.7194194680958","1552.7194194680958","1552.7194194680958"
"23839","1563.4657153834128","1563.4657153834128","1563.4657153834128"
"24608","1577.5510125967733","1577.5510125967733","1577.5510125967733"
"25377","1600.987634245783","1600.987634245783","1600.987634245783"
"26146","1606.3248173787354","1606.3248173787354","1606.3248173787354"
"26915","1622.18389615832","1622.18389615832","1622.18389615832"
"27684","1633.614682735525","1633.614682735525","1633.614682735525"
"28453","1614.4363263390887","1614.4363263390887","1614.4363263390887"
"29222","1637.8861084291823","1637.8861084291823","1637.8861084291823"
"29991","1655.4142185039323","1655.4142185039323","1655.4142185039323"
"30760","1656.4720790057443","1656.4720790057443","1656.4720790057443"
"31529","1677.7813978077866","1677.7813978077866","1677.7813978077866"
"32298","1687.1922650374809","1687.1922650374809","1687.1922650374809"
"33067","1678.66854683961","1678.66854683961","1678.66854683961"
"33836","1698.545137990681","1698.545137990681","1698.545137990681"
"34605","1698.1253610565661","1698.1253610565661","1698.1253610565661"
"35374","1705.9576090494659","1705.9576090494659","1705.9576090494659"
"36143","1706.5345299607438","1706.5345299607438","1706.5345299607438"
"36912","1713.025456661148","1713.025456661148","1713.025456661148"
"37681","1713.7972967888024","1713.7972967888024","1713.7972967888024"
"38450","1727.7066146508216","1727.7066146508216","1727.7066146508216"
"39219","1727.487488011947","1727.487488011947","1727.487488011947"
"39988","1740.592305012068","1740.592305012068","1740.592305012068"
