"Step","RoboPianist-repertoire-150-NocturneOp9No2-v0__200__1700082506 - train/return","RoboPianist-repertoire-150-NocturneOp9No2-v0__200__1700082506 - train/return__MIN","RoboPianist-repertoire-150-NocturneOp9No2-v0__200__1700082506 - train/return__MAX","RoboPianist-repertoire-150-NocturneOp9No2-v0__88__1700045843__test - train/return","RoboPianist-repertoire-150-NocturneOp9No2-v0__88__1700045843__test - train/return__MIN","RoboPianist-repertoire-150-NocturneOp9No2-v0__88__1700045843__test - train/return__MAX","RoboPianist-repertoire-150-NocturneOp9No2-v0__88__1700035476 - train/return","RoboPianist-repertoire-150-NocturneOp9No2-v0__88__1700035476 - train/return__MIN","RoboPianist-repertoire-150-NocturneOp9No2-v0__88__1700035476 - train/return__MAX"
"769","-222.20323381488416","-222.20323381488416","-222.20323381488416","-280.3503964639615","-280.3503964639615","-280.3503964639615","-240.5146495501883","-240.5146495501883","-240.5146495501883"
"1538","-209.9845034777859","-209.9845034777859","-209.9845034777859","-254.91772124973636","-254.91772124973636","-254.91772124973636","-247.52790329970597","-247.52790329970597","-247.52790329970597"
"2307","-229.37929904333996","-229.37929904333996","-229.37929904333996","-225.84214285627056","-225.84214285627056","-225.84214285627056","-213.96056870781055","-213.96056870781055","-213.96056870781055"
"3076","-130.56925411261986","-130.56925411261986","-130.56925411261986","-166.28839793561514","-166.28839793561514","-166.28839793561514","-174.00200847236155","-174.00200847236155","-174.00200847236155"
"3845","-95.0320984293471","-95.0320984293471","-95.0320984293471","-196.62923439312974","-196.62923439312974","-196.62923439312974","-191.07641083132367","-191.07641083132367","-191.07641083132367"
"4614","-87.11361418379857","-87.11361418379857","-87.11361418379857","-61.73964882858637","-61.73964882858637","-61.73964882858637","-67.98950410614583","-67.98950410614583","-67.98950410614583"
"5383","14.3108590110625","14.3108590110625","14.3108590110625","-114.38795435049217","-114.38795435049217","-114.38795435049217","-119.34549372970235","-119.34549372970235","-119.34549372970235"
"6152","-18.570242482171896","-18.570242482171896","-18.570242482171896","-60.68168347151349","-60.68168347151349","-60.68168347151349","-9.228097348745635","-9.228097348745635","-9.228097348745635"
"6921","98.9823643059034","98.9823643059034","98.9823643059034","1.978623506959784","1.978623506959784","1.978623506959784","42.973100041351934","42.973100041351934","42.973100041351934"
"7690","61.65590900777265","61.65590900777265","61.65590900777265","-36.32140667001925","-36.32140667001925","-36.32140667001925","42.25028968653878","42.25028968653878","42.25028968653878"
